series_id,country,subject,indicator,series_name,data_type,frequency,description,haver_code,bls_code
108,US,Prices,CPI,CPI-U: Owners' Equivalent Rent of Residences (Index),Weight,M,"CPI-U: Owners' Equivalent Rent of Residences - Weight (Relative Importance, Table 6 BLS)",,CPIUS:oer
109,US,Prices,CPI,CPI-U: Physicians' Services (Index),NSA,M,CPI-U: Physicians' Services - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:physicians_services
110,US,Prices,CPI,CPI-U: Physicians' Services (Index),SA,M,CPI-U: Physicians' Services - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:physicians_services
111,US,Prices,CPI,CPI-U: Physicians' Services (Index),Weight,M,"CPI-U: Physicians' Services - Weight (Relative Importance, Table 6 BLS)",,CPIUS:physicians_services
112,US,Prices,CPI,CPI-U: Public Transportation (Index),NSA,M,CPI-U: Public Transportation - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:public_transportation
113,US,Prices,CPI,CPI-U: Public Transportation (Index),SA,M,CPI-U: Public Transportation - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:public_transportation
114,US,Prices,CPI,CPI-U: Public Transportation (Index),Weight,M,"CPI-U: Public Transportation - Weight (Relative Importance, Table 6 BLS)",,CPIUS:public_transportation
115,US,Prices,CPI,CPI-U: Rent of Primary Residence (Index),NSA,M,CPI-U: Rent of Primary Residence - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:rent
116,US,Prices,CPI,CPI-U: Rent of Primary Residence (Index),SA,M,CPI-U: Rent of Primary Residence - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:rent
117,US,Prices,CPI,CPI-U: Rent of Primary Residence (Index),Weight,M,"CPI-U: Rent of Primary Residence - Weight (Relative Importance, Table 6 BLS)",,CPIUS:rent
118,US,Prices,CPI,CPI-U: Rent of Shelter (Custom) (Index),NSA,M,CPI-U: Rent of Shelter (Custom) - Indice [NSA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:rent_of_shelter
119,US,Prices,CPI,CPI-U: Rent of Shelter (Custom) (Index),SA,M,CPI-U: Rent of Shelter (Custom) - Indice [SA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:rent_of_shelter
120,US,Prices,CPI,CPI-U: Rent of Shelter (Custom) (Index),Weight,M,CPI-U: Rent of Shelter (Custom) - Weight derivado (algebra Laspeyres da recipe),,CPIUS:rent_of_shelter
121,US,Prices,CPI,CPI-U: Shelter (Index),NSA,M,CPI-U: Shelter - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:shelter
122,US,Prices,CPI,CPI-U: Shelter (Index),SA,M,CPI-U: Shelter - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:shelter
123,US,Prices,CPI,CPI-U: Shelter (Index),Weight,M,"CPI-U: Shelter - Weight (Relative Importance, Table 6 BLS)",,CPIUS:shelter
124,US,Prices,CPI,CPI-U: Super Super Core (Custom) (Index),NSA,M,CPI-U: Super Super Core (Custom) - Indice [NSA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:super_super_core
125,US,Prices,CPI,CPI-U: Super Super Core (Custom) (Index),SA,M,CPI-U: Super Super Core (Custom) - Indice [SA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:super_super_core
126,US,Prices,CPI,CPI-U: Super Super Core (Custom) (Index),Weight,M,CPI-U: Super Super Core (Custom) - Weight derivado (algebra Laspeyres da recipe),,CPIUS:super_super_core
127,US,Prices,CPI,"CPI-U: Core Services ex RPR & OER (Old Powell Supercore, Custom) (Index)",NSA,M,"CPI-U: Core Services ex RPR & OER (Old Powell Supercore, Custom) - Indice [NSA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra)",,CPIUS:supercore_powell_old
128,US,Prices,CPI,"CPI-U: Core Services ex RPR & OER (Old Powell Supercore, Custom) (Index)",SA,M,"CPI-U: Core Services ex RPR & OER (Old Powell Supercore, Custom) - Indice [SA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra)",,CPIUS:supercore_powell_old
129,US,Prices,CPI,"CPI-U: Core Services ex RPR & OER (Old Powell Supercore, Custom) (Index)",Weight,M,"CPI-U: Core Services ex RPR & OER (Old Powell Supercore, Custom) - Weight derivado (algebra Laspeyres da recipe)",,CPIUS:supercore_powell_old
130,US,Prices,CPI,CPI-U: Tobacco and Smoking Products (Index),NSA,M,CPI-U: Tobacco and Smoking Products - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:tobacco
131,US,Prices,CPI,CPI-U: Tobacco and Smoking Products (Index),SA,M,CPI-U: Tobacco and Smoking Products - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:tobacco
132,US,Prices,CPI,CPI-U: Tobacco and Smoking Products (Index),Weight,M,"CPI-U: Tobacco and Smoking Products - Weight (Relative Importance, Table 6 BLS)",,CPIUS:tobacco
133,US,Prices,CPI,CPI-U: Transportation Services (Index),NSA,M,CPI-U: Transportation Services - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:transportation_services
134,US,Prices,CPI,CPI-U: Transportation Services (Index),SA,M,CPI-U: Transportation Services - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:transportation_services
135,US,Prices,CPI,CPI-U: Transportation Services (Index),Weight,M,"CPI-U: Transportation Services - Weight (Relative Importance, Table 6 BLS)",,CPIUS:transportation_services
136,US,Prices,CPI,CPI-U: Used Cars and Trucks (Index),NSA,M,CPI-U: Used Cars and Trucks - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:used_cars_trucks
137,US,Prices,CPI,CPI-U: Used Cars and Trucks (Index),SA,M,CPI-U: Used Cars and Trucks - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:used_cars_trucks
138,US,Prices,CPI,CPI-U: Used Cars and Trucks (Index),Weight,M,"CPI-U: Used Cars and Trucks - Weight (Relative Importance, Table 6 BLS)",,CPIUS:used_cars_trucks
139,US,Prices,CPI,CPI-U: Utility (piped) Gas Service (Index),NSA,M,CPI-U: Utility (piped) Gas Service - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:utility_gas
140,US,Prices,CPI,CPI-U: Utility (piped) Gas Service (Index),SA,M,CPI-U: Utility (piped) Gas Service - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:utility_gas
141,US,Prices,CPI,CPI-U: Utility (piped) Gas Service (Index),Weight,M,"CPI-U: Utility (piped) Gas Service - Weight (Relative Importance, Table 6 BLS)",,CPIUS:utility_gas
